ARK;"Dénomination / Titre";Auteur;"Date de création";"Numéro d’inventaire";Collection
cl010055922;"La Tente de Darius";"France ; Le Brun, Charles";"1600 / 1700  (XVIIe siècle)";"INV 2963; B 716";"Département des Peintures"
cl010055923;"L'Entrée du Christ à Jérusalem";"Le Brun, Charles ; France";"1688 / 1689  (XVIIe siècle)";"INV 2883; MR 1928; D 62 1 1";"Département des Peintures"
cl010055931;"Le Repos";"Lehmann, Henri ; France";1864;"RF 175";"Département des Peintures"
cl010055932;"Désolation des Océanides au pied du roc où Prométhée est enchaîné";"France ; Lehmann, Henri";1850;"RF 100";"Département des Peintures"
cl010055935;"Intérieur de la pharmacie du couvent des Capucins à Rome";"Leleux, Armand ; France";1863;"RF 101";"Département des Peintures"
cl010055939;"Scène d'intérieur";"France ; Le Nain, Famille";"1600 / 1700  (XVIIe siècle)";"MI 1393; 517";"Département des Peintures"
cl010055940;"Repas de paysans";"France ; Le Nain, Louis";1642;"RF 2516; D 930 1";"Département des Peintures"
cl010055944;"Les Petits pêcheurs";"Leprince, Robert-Léopold ; France";1835;"INV 7335; LP 1924";"Département des Peintures"
cl010055945;"Enfants jouant avec un chien";"Leprince, Robert-Léopold ; France";1835;"INV 7336; LP 909";"Département des Peintures"
cl010055947;"L'Ange du Seigneur apparaît dans le désert à Agar";"Le Sueur, Eustache ; France";"1648 / 1649  (XVIIe siècle)";"INV 8013; LP 5609";"Département des Peintures"
cl010055956;"Bérénice et Ptolémée";"Loir, Nicolas ; France";"1600 / 1700  (XVIIe siècle)";"INV 8704; B 763";"Département des Peintures"
cl010055958;"Policrite envoyant un pain à ses frères";"Loir, Nicolas ; France";"1600 / 1700  (XVIIe siècle)";"INV 8716; B 762";"Département des Peintures"
cl010055960;"Minerve et les Arts. Allégorie de la fondation de l'Académie royale de Peinture et de Sculpture, dit aussi Progrès des Arts du Dessin en France sous le règne de Louis XIV";"Loir, Nicolas ; France";"1600 / 1700  (XVIIe siècle)";"INV 308; MR 248";"Département des Peintures"
cl010055961;"Une bataille";"France ; Loutherbourg, Jacques Philippe II";1767;"INV 6395; MR 2075; Inv 982-088";"Département des Peintures"
cl010055962;"Le Passage du gué";"France ; Loutherbourg, Jacques Philippe II";"1700 / 1800  (XVIIIe siècle)";"RF 45";"Département des Peintures"
cl010055963;"Pêcheurs au clair de lune";"France ; Loutherbourg, Jacques Philippe II";1770;"RF 2336; D 381";"Département des Peintures"
cl010055964;"Joueurs de cartes";"Maître des jeux ; France ; Le Nain, Famille";"1600 / 1700  (XVIIe siècle)";"RF 1974 7; D 974 3";"Département des Peintures"
cl010055971;"Vue du château de Chambord";"Martin, Jean-Baptiste ; France";1724;"INV 6463; MR 2111";"Département des Peintures"
cl010055972;"Vue du château de Madrid";"Martin, Jean-Baptiste ; France";1724;"INV 6464; MR 2114";"Département des Peintures"
cl010055973;"Le Château de Monceau";"Martin, Jean-Baptiste ; France";1724;"INV 6465; MR 2115";"Département des Peintures"
cl010055974;"Vue prise aux environs d'Athènes, au soleil couchant";"Marilhat, Prosper ; France";1835;"RF 2211";"Département des Peintures"
cl010055978;"Mort de Desdémone (Shakespeare, Othello)";"Marsaud, Marie Méloé ; France";1837;"INV 6450; LP 3467";"Département des Peintures"
cl010055979;"Scène de bataille";"Martin, Jean-Baptiste ; France";"1600 / 1700  (XVIIe siècle)";"INV 20756; LP 1938";"Département des Peintures"
cl010055981;"Vue de Paris, prise du quai de la Rapée sur la Salpêtrière, l'île Saint-Louis et l'île de la Cité";"France ; Martin, Pierre Denis";1716;"INV 6532 bis; INV 8789";"Département des Peintures"
cl010055982;"Vue de l'église de l'Hôtel royal des Invalides, que Louis XIV et sa suite viennent visiter";"Martin, Pierre Denis ; France";"1700 / 1800  (XVIIIe siècle)";"MI 143";"Département des Peintures"
cl010055983;"L'Arioste respecté par des brigands";"Mauzaisse, Jean Baptiste ; France";1817;"INV 6557; L 3575";"Département des Peintures"
cl010055985;"Portrait du père de l'artiste";"Mauzaisse, Jean Baptiste ; France";1827;"INV 6581; LP 6167; 86";"Département des Peintures"
cl010055989;"Le Verre de vin";"Aubry, Étienne ; France";"1750 / 1800  (2e moitié du XVIIIe siècle)";"RF 1973 7";"Département des Peintures"
cl010055990;"Portrait présumé de Christoph Willibald Gluck (1714-1787), compositeur";"Aubry, Étienne ; France";"après 1772";"RF 1715";"Département des Peintures"
cl010055991;"Cuvette d'or avec des fleurs";"Blin de Fontenay, Jean-Baptiste ; France";"1600 / 1700  (XVIIe siècle)";"INV 4467; MR 1683";"Département des Peintures"
cl010055992;"Gibier, fruits et choux-fleurs";"Desportes, Alexandre-François ; France";"1700 / 1800  (XVIIIe siècle)";"INV 3942; B 566";"Département des Peintures"
cl010055993;"Vertumne et Pomone";"Boucher, François ; France";"1700 / 1800  (XVIIIe siècle)";"INV 2734; B 432";"Département des Peintures"
cl010055994;"La Musique";"France ; Hilair, Jean-Baptiste";1781;"INV 5352; MR 1815";"Département des Peintures"
cl010055995;"La Lecture";"France ; Hilair, Jean-Baptiste";1781;"INV 5353; MR 1816";"Département des Peintures"
cl010055996;"Vase d'argent aux armes de France orné de fleurs";"Monnoyer, Jean Baptiste ; France";"1600 / 1700  (XVIIe siècle)";"INV 6742; B 1416";"Département des Peintures"
cl010055997;"Vase d'or, fleurs, fruits";"Monnoyer, Jean Baptiste ; France";"1600 / 1700  (XVIIe siècle)";"INV 6763; B 1468";"Département des Peintures"
cl010055998;"Portrait de Hugues Desnotz, échevin de la ville de Paris";"Largillière, Nicolas de ; France";1704;"MI 1081";"Département des Peintures"
cl010056000;"Portrait de femme en bleu";"Nonnotte, Donat ; France";1751;"RF 1937 122";"Département des Peintures"
cl010056001;"Portrait de jeune femme";"France ; Nonnotte, Donat";"1700 / 1800  (XVIIIe siècle)";"RF 1947 36";"Département des Peintures"
cl010056002;"Pastorale. Berger et bergère";"France ; Watteau, Jean-Antoine";"1700 / 1800  (XVIIIe siècle)";"MI 1131";"Département des Peintures"
cl010056003;"Paysage avec les funérailles de Phocion";"France ; Poussin, Nicolas";"1600 / 1700  (XVIIe siècle)";"RF 2356";"Département des Peintures"
cl010056006;"Madame Sallandrouze de Lamornaix et son fils";"Riesener, Henri François ; France";"1800 / 1900  (XIXe siècle)";"RF 1948 6";"Département des Peintures"
cl010056007;"Un Temple circulaire jadis dédié à Vénus, et que l'on a restauré pour servir d'asile libre aux pigeons qui désertent les colombiers";"France ; Robert, Hubert";1788;"INV 7639; MR 2436";"Département des Peintures"
cl010056008;"Paysage à l'Obélisque";"Robert, Hubert ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1946 28";"Département des Peintures"
cl010056009;"Danseuse vue de face";"Schall, Jean Frederic ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1947 41";"Département des Peintures"
cl010056010;"Danseuse vue de dos";"Schall, Jean Frederic ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1947 42";"Département des Peintures"
cl010056011;"Portrait présumé du grammairien Dumarsais";"Tocqué, Louis ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1112";"Département des Peintures"
cl010056013;"Portrait d'homme";"Troy, Jean-François de ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1114";"Département des Peintures"
cl010056015;"Vue du château de Fontainebleau du côté des jardins";"Van der Meulen, Adam Frans ; France";"1600 / 1700  (XVIIe siècle)";"INV 1518; MR 849";"Département des Peintures"
cl010056016;"Le Matin, la pêche";"Vernet, Claude-Joseph ; France";"1700 / 1800  (XVIIIe siècle)";"INV 8317; MR 2635";"Département des Peintures"
cl010056017;"Le Midi, une tempête";"Vernet, Claude-Joseph ; France";1765;"INV 8318; MR 2636";"Département des Peintures"
cl010056018;"Le Soir";"Vernet, Claude-Joseph ; France";"1700 / 1800  (XVIIIe siècle)";"INV 8319; MR 2626";"Département des Peintures"
cl010056019;"La Nuit, un clair de lune";"Vernet, Claude-Joseph ; France";1765;"INV 8320; MR 2649";"Département des Peintures"
cl010056020;"Les Cascades de Tivoli";"Vernet, Claude-Joseph ; France";"1700 / 1800  (XVIIIe siècle)";"RF 3050";"Département des Peintures"
cl010056021;"Marine calme avec tour sur promontoire";"France ; Vernet, Claude-Joseph";"1700 / 1800  (XVIIIe siècle)";"RF 1938 91";"Département des Peintures"
cl010056022;"Poule de Tunis. Étude";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"INV 4000";"Département des Peintures"
cl010056023;"Vase d'or rempli de fleurs";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"INV 8924; LP 3560";"Département des Peintures"
cl010056024;"Portrait d'homme";"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"INV 20072";"Département des Peintures"
cl010056025;"Apollon gardant les troupeaux d'Admète";"France ; Domenchin de Chavanne, Pierre-Salomon";"1700 / 1800  (XVIIIe siècle)";"INV 8601; B 2555";"Département des Peintures"
cl010056028;"Amours jouant (grisaille)";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"INV 20382";"Département des Peintures"
cl010056029;"Tête d''ange tourné vers la gauche";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"RF 44";"Département des Peintures"
cl010056031;"Portrait de jeune femme s'appuyant à une statue d'amour, dit traditionnellement, Mme Papillon de la Ferté";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"RF 2178";"Département des Peintures"
cl010056032;"Portrait de femme";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"RF 2189";"Département des Peintures"
cl010056033;"Portrait de Pierre de Bérulle";"Rigaud, Hyacinthe ; France";"1600 / 1700  (XVIIe siècle)";"MI 1104";"Département des Peintures"
cl010056034;"Tête d'ange tourné vers la droite";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"RF 43";"Département des Peintures"
cl010056035;"Fruits et fleurs dans un vase d'or";"Blin de Fontenay, Jean-Baptiste ; France";"1690 / 1700  (XVIIe siècle)";"INV 8958; MR 1494";"Département des Peintures"
cl010056036;"Fruits sur une table de pierre";"Monnoyer, Jean Baptiste ; France";"1690 / 1700  (XVIIe siècle)";"INV 8959; MR 1502";"Département des Peintures"
cl010056037;Paysage;"Anonyme ; France";"1600 / 1700  (XVIIe siècle)";"RF 3821";"Département des Peintures"
cl010056038;"Amours jouant (grisaille)";"Anonyme ; France";"1700 / 1800  (XVIIIe siècle)";"INV 20382 bis";"Département des Peintures"
cl010056039;"Portrait du duc de Choiseul-Stainville (1719-1785)";"France ; Van Loo, Louis-Michel";"1700 / 1800  (XVIIIe siècle)";"INV 6369; B 1836; L41.264; R 81";"Département des Peintures"
cl010056040;"Intérieur de parc romain. L'escalier";"Robert, Hubert ; France";1783;"INV 7659; MR 2429";"Département des Peintures"
cl010056041;"Institution de l'ordre du Saint-Esprit par Henri III dans l'église du couvent des Grands Augustins à Paris le 31 décembre 1578";"France ; Van Loo, Jean-Baptiste";"1700 / 1800  (XVIIIe siècle)";"INV 6251; B 1003";"Département des Peintures"
cl010056047;"Naissance de Louis XIII";"Menjaud, Alexandre ; France";1817;"INV 6606; L 3547; 879 10";"Département des Peintures"
cl010056048;"Paysage ; lisière d'une forêt";"Bourgeois de Mercey, Frédéric ; France";1835;"INV 6611; LP 1633";"Département des Peintures"
cl010056049;"Vue du pas de Finstermünz, dans le Tyrol (Ober-Inthal)";"Bourgeois de Mercey, Frédéric ; France";1833;"INV 6612 bis; LP 159";"Département des Peintures"
cl010056050;"Les Cendres de Phocion";"Meynier, Charles ; France";1819;"INV 6619; L 3745";"Département des Peintures"
cl010056052;"Le Printemps (Portrait de Marie Guyon)";"Mignard, Nicolas ; France";"1658 / 1659  (XVIIe siècle)";"RF 1962 8";"Département des Peintures"
cl010056053;L'Été;"France ; Mignard, Nicolas";"1658 / 1659  (XVIIe siècle)";"RF 1962 9";"Département des Peintures"
cl010056054;L'Automne;"Mignard, Nicolas ; France";"1600 / 1700  (XVIIe siècle)";"RF 1962 10";"Département des Peintures"
cl010056055;L'Hiver;"France ; Mignard, Nicolas";"1600 / 1700  (XVIIe siècle)";"RF 1962 11";"Département des Peintures"
cl010056058;"Apollon et Daphné";"Mignard, Nicolas ; France";"1600 / 1700  (XVIIe siècle)";"RF 1962 14";"Département des Peintures"
cl010056073;"Paysage. La Fuite en Égypte.";"France ; Hérault, Charles Antoine";"1600 / 1700  (XVIIe siècle)";"INV 1572 bis; B 2572";"Département des Peintures"
cl010056074;"Paysage animé";"France ; Millet, Francisque";"1600 / 1700  (XVIIe siècle)";"RF 1964 13";"Département des Peintures"
cl010056079;"Vase d'or avec des fleurs";"Monnoyer, Jean Baptiste ; France";"1600 / 1700  (XVIIe siècle)";"INV 6730; B 845";"Département des Peintures"
cl010056086;"Vase de porcelaine avec des fleurs";"Monnoyer, Jean Baptiste ; France";"1690 / 1700  (XVIIe siècle)";"INV 6753; B 850";"Département des Peintures"
cl010056089;"Fleurs dans une corbeille";"Monnoyer, Jean Baptiste ; France";"1600 / 1700  (XVIIe siècle)";"MI 1397";"Département des Peintures"
cl010056096;"Vue du bassin Sainte-Catherine à Bruxelles";"France ; Mozin, Charles Louis";1833;"INV 6818; LP 162";"Département des Peintures"
cl010056099;"Les Trois Grâces";"Natoire, Charles-Joseph ; France";"1700 / 1800  (XVIIIe siècle)";"INV 6849; MR 2209; 88-70170";"Département des Peintures"
cl010056100;"L'Air ou Junon";"Natoire, Charles-Joseph ; France";1741;"INV 6850; B 868; 88-70292";"Département des Peintures"
cl010056105;"Portrait d'Anne de Clermont, abbesse de Chelles";"Nattier, Jean-Marc ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1950 15";"Département des Peintures"
cl010056108;"Portrait de Madame de Charolais en costume de religieux franciscain";"France ; Nattier, Jean-Marc";"1700 / 1800  (XVIIIe siècle)";"MI 1441; D 873-1-3";"Département des Peintures"
cl010056109;"Portrait en buste de Louis XV dans sa jeunesse";"France ; Natoire, Charles-Joseph";"1700 / 1800  (XVIIIe siècle)";"INV 6879; B 2107";"Département des Peintures"
cl010056110;"Vue de la ville de Lyon, prise sur les bords du Rhône en 1804";"Nivard, Charles François ; France";1804;"INV 6931; MR 2224; 408";"Département des Peintures"
cl010056111;"Vue de la ville de Lyon, prise sur les bords de la Saône en 1804";"Nivard, Charles François ; France";"1800 / 1900  (XIXe siècle)";"INV 6932; MR 2225; 409";"Département des Peintures"
cl010056144;"Le Bien et le Mal";"Orsel, Victor ; France";1832;"RF 36; B 376; RF 438";"Département des Peintures"
cl010056145;"Portrait d'une Italienne (Vittoria Caldoni?)";"Orsel, Victor ; France";"1820 / 1821  (XIXe siècle)";"RF 1949 28";"Département des Peintures"
cl010056150;"Deux chiens couchés gardant du gibier mort";"Oudry, Jean-Baptiste ; France";1752;"INV 7029; MN 63";"Département des Peintures"
cl010056151;"Chien et faisan";"Oudry, Jean-Baptiste ; France";"1700 / 1800  (XVIIIe siècle)";"INV 3923; B 574";"Département des Peintures"
cl010056153;"Cléopâtre mourante ; tête d'étude";"Palmerini, Jean Baptiste ; France";1819;"INV 7084; B 915";"Département des Peintures"
cl010056154;"Lucrèce mourante ; tête d'étude";"Palmerini, Jean Baptiste ; France";1819;"INV 7085; B 914";"Département des Peintures"
cl010056157;"Paysage et ruines d'architecture";"Patel, Pierre Antoine ; France";1707;"INV 7132; MR 2277";"Département des Peintures"
cl010056158;Paysage;"France ; Patel, Pierre Antoine";"1600 / 1700  (XVIIe siècle)";"MI 1402; D 872 1 12";"Département des Peintures"
cl010056159;L'Escarpolette;"France ; Pater, Jean-Baptiste";"1700 / 1750  (1e moitié du XVIIIe siècle)";"RF 2606";"Département des Peintures"
cl010056160;"Réunion galante dans un parc";"France ; Pater, Jean-Baptiste";"1700 / 1800  (XVIIIe siècle)";"RF 3802; R 1552";"Département des Peintures"
cl010056161;"Baigneuse, dit autrefois : l'Essay du bain";"France ; Pater, Jean-Baptiste";"1700 / 1800  (XVIIIe siècle)";"RF 3816";"Département des Peintures"
cl010056165;Ruines;"Perin, Alphonse ; France";"1800 / 1900  (XIXe siècle)";"RF 3844; D 934 1";"Département des Peintures"
cl010056168;"La France, appuyée par la Religion, consacrant à Notre-Dame de Gloire les drapeaux pris sur l'ennemi";"France ; Perrin, Jean Charles Nicaise";1806;"INV 7168; MR 2291";"Département des Peintures"
cl010056169;"Vue de la place des Signori, à Vicence, et des édifices qui l'entourent; d'après nature";"Perrot, Antoine Marie ; France";1831;"INV 7170; LP 53";"Département des Peintures"
cl010056171;"La Mort de Socrate";"France ; Peyron, Pierre";"vers 1789";"INV 7176; MR 2297";"Département des Peintures"
cl010056172;"Paul-Émile, vainqueur de Persée, dernier roi des Macédoniens";"Peyron, Pierre ; France";1804;"INV 7177; MR 2300";"Département des Peintures"
cl010056175;"Jeune bergère se mirant dans l'eau";"France ; Phlipault, Julie";1821;"INV 7205; L 3996";"Département des Peintures"
cl010056176;"Jeune berger jouant de la flûte";"France ; Phlipault, Julie";1826;"INV 7206; L 3997";"Département des Peintures"
cl010056181;"Rouget de l'Isle chantant pour la première fois la Marseillaise chez Dietrick, maire de Strasbourg";"Pils, Isidore ; France";1849;"RF 391";"Département des Peintures"
cl010056183;"Marine. Falaise de Douvres";"Place, Henri ; France";1849;"MI 70";"Département des Peintures"
cl010056184;"Paysage avec cascade et chaumière";"Plattel, Henry ; France";"1800 / 1900  (XIXe siècle)";"INV 7255";"Département des Peintures"
cl010056185;"Intérieur de l'église Saint-Marc de Venise";"Poirot, Pierre Achille ; France";1850;"INV 7258";"Département des Peintures"
cl010056186;"Minerve au milieu de soldats";"France ; Poussin, Nicolas ; Anonyme";"1670 / 1700  (XVIIe siècle)";"INV 7324; MN 55";"Département des Peintures"
cl010056187;"Jésus chez Simon. La Madeleine aux pieds du Christ";"France ; Poussin, Nicolas";"1600 / 1700  (XVIIe siècle)";"INV 7325; L 3594";"Département des Peintures"
cl010056188;"Jésus Christ ressuscitant la fille de Jaïre";"France ; Poussin, Nicolas";"1600 / 1700  (XVIIe siècle)";"INV 7326; L 3595";"Département des Peintures"
cl010056189;"Achille à Scyros reconnu par Ulysse";"Dufresnoy, Charles Alphonse ; France";"1600 / 1700  (XVIIe siècle)";"RF 2280; D 949 2 2";"Département des Peintures"
cl010056190;"Paysage; souvenir de Normandie";"Pressigny, Alphonse de ; France";1845;"INV 7327; LP 6314";"Département des Peintures"
cl010056192;"La Mort de Phocion";"Queylar, Paul du ; France";1819;"INV 7354; L 3685";"Département des Peintures"
cl010056193;"Rachat par le roi de tous les esclaves chrétiens de toute nation sur les côtes d'Afrique";"France ; Rabon, Nicolas";1667;"INV 8689; B 710";"Département des Peintures"
cl010056194;"Pygmalion amoureux de sa statue";"France ; Raoux, Jean";1717;"INV 7361; MR 2354; D 55-1-1";"Département des Peintures"
cl010056198;"Mort du général Desaix à Marengo le 14 juin 1800";"Regnault, Jean Baptiste ; France";"1700 / 1800  (XVIIIe siècle)";"INV 7389; MR 2357";"Département des Peintures"
cl010056200;"Portrait de femme en bacchante";"Regnault, Jean Baptiste ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1404; D 872.4";"Département des Peintures"
cl010056201;"William Wallace sous les habits d'un barde écossais s'introduit dans le château de Durham";"Regnier, Auguste Jacques ; France";1824;"INV 7395; C 33";"Département des Peintures"
cl010056210;"Vue des Alpes à Crevola";"Rémond, Jean-Charles-Joseph ; France";1835;"INV 7417; LP 1636";"Département des Peintures"
cl010056211;"Agrippine débarque à Brindes, portant l'urne de Germanicus, son époux";"Renou, Antoine ; France";1779;"INV 7421; MR 2355";"Département des Peintures"
cl010056215;"Jésus Christ lavant les pieds aux apôtres";"Restout, Jean II ; France";1755;"INV 7442; MR 2370";"Département des Peintures"
cl010056216;"Diane et Endymion";"Restout, Jean II ; France";1724;"INV 7448; MR 2379";"Département des Peintures"
cl010056217;"Didon montre à Énée les bâtiments de Carthage (L'Architecture)";"Restout, Jean II ; France";1751;"INV 7453; MR 2369";"Département des Peintures"
cl010056218;"Alexandre chez Apelle, qui lui donne sa maîtresse Campaspe (La Peinture)";"Restout, Jean II ; France";1739;"INV 7454; MR 2382";"Département des Peintures"
cl010056219;"Saint Louis débarquant en Égypte";"Restout, Jean Bernard ; France";1775;"INV 7461";"Département des Peintures"
cl010056222;"Vue de l'arrivée de Berne en venant de Neufchâtel";"Ricois, François Edmé ; France";1831;"INV 7483; LP 56";"Département des Peintures"
cl010056224;"Portrait du général comte de France";"Dien, Claude Marie François ; France";"1800 / 1900  (XIXe siècle)";"RF 18";"Département des Peintures"
cl010056225;"Hyacinthe Rigaud peignant le portrait de François de Castagnier";"Rigaud, Hyacinthe ; France";1730;"INV 5749; MR 2393";"Département des Peintures"
cl010056228;"Portrait en buste de Philippe de France (duc de Chartres)";"France ; Rigaud, Hyacinthe";1689;"INV 20010; D56.31";"Département des Peintures"
cl010056239;"Paysage. La Cascade";"Robert, Hubert ; France";1783;"INV 7660; MR 2433";"Département des Peintures"
cl010056244;"Ruines romaines";"Robert, Hubert ; France";1791;"RF 1976 11; D.976.1.1";"Département des Peintures"
cl010056245;"Pont en ruines et lavandières";"Robert, Hubert ; France";1791;"RF 1976 12; D.976.1.2";"Département des Peintures"
cl010056246;"Paysage avec ruines et vase";"France ; Robert, Hubert";"1700 / 1800  (XVIIIe siècle)";"RF 2811";"Département des Peintures"
cl010056247;"Colloque de Poissy en 1561";"Robert Fleury, Joseph-Nicolas ; France";1840;"INV 7672; LP 4324; MC D 2003.1.1";"Département des Peintures"
cl010056248;"Les Funérailles d'Emma dans l'église de l'abbaye bâtie par Eginard, sur la fin du VIIIème siècle, à Seligenstadt";"France ; Roehn, Adolphe";1810;"INV 7685; MR 2447; 178; 110; 190";"Département des Peintures"
cl010056261;"Vue du lac de Némi (Italie)";"Saglio, Camille ; France";1847;"INV 7807; LP 7014";"Département des Peintures"
cl010056264;"La Madeleine";"France ; Santerre, Jean-Baptiste";"1600 / 1700  (XVIIe siècle)";"INV 7837; MR 2460";"Département des Peintures"
cl010056265;"Les Espiègles";"Schall, Jean Frederic ; France";"1700 / 1800  (XVIIIe siècle)";"RF 3054; 1587";"Département des Peintures"
cl010056266;"Portrait en pied du maréchal Mouton, comte de Lobau";"Scheffer, Ary ; France";1833;"INV 7864; LP 102; D.95.488";"Département des Peintures"
cl010056267;"Arrestation de Charlotte Corday en 1793";"Scheffer, Henry ; France";1830;"INV 7868; LP 59";"Département des Peintures"
cl010056268;"Portrait du financier Jacques Laffitte (1767-1844)";"Scheffer, Henry ; France";1838;"RF 2466 bis";"Département des Peintures"
cl010056270;"Le Cardinal Mazarin au lit de mort présente Colbert à Louis XIV";"Schnetz, Jean Victor ; France";1827;"INV 7892; D 872 2 9; C 221";"Département des Peintures"
cl010056273;"Sujet anacréontique, dit aussi L'Amour captif";"France ; Sigalon, Xavier";1833;"MI 341";"Département des Peintures"
cl010056275;"Tête de femme au turban";"Subleyras, Pierre ; France";"1700 / 1800  (XVIIIe siècle)";"INV 9969; D 872 1 1; B 1954";"Département des Peintures"
cl010056276;L'Assomption;"Subleyras, Pierre ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1417; Inv 872 8";"Département des Peintures"
cl010056277;"Tancrède blessé après avoit tué Argan est secouru par Clorinde";"Suvée, Joseph Benoît ; France";"1778 / 1779  (3e tiers du XVIIIe siècle)";"INV 8076; MR 2496";"Département des Peintures"
cl010056278;"Le Marché aux chevaux à Metz. Esquisse.";"Swebach-Desfontaines, Jacques-François-Joseph ; France";"1700 / 1800  (XVIIIe siècle)";"RF 1948 33";"Département des Peintures"
cl010056280;"Marine, vue prise en Hollande";"Tanneur, Philippe ; France";1840;"INV 8085; LP 4367";"Département des Peintures"
cl010056283;"Saint Louis lavant les pieds aux pauvres le Jeudi Saint";"Tardieu, Jean Charles, dit Tardieu-Cochin ; France";1823;"INV 8097; C 414; LP 269";"Département des Peintures"
cl010056286;"Le Reniement de saint Pierre";"Tassel, Jean ; France";"1600 / 1700  (XVIIe siècle)";"INV 8115; MR 2506";"Département des Peintures"
cl010056289;"Portrait d'une vieille femme, peut-être la mère de l'artiste";"Théolon ; France";1777;"INV 8143; MR 2523";"Département des Peintures"
cl010056290;"Oedipe et Antigone";"Thévenin, Charles ; France";1798;"INV 8146; MR 2525";"Département des Peintures"
cl010056291;"Vue du Pont Saint-Michel à Paris, 1780";"Thierry, Joseph François Désiré ; France";1833;"INV 8158; LP 182";"Département des Peintures"
cl010056292;"Psyché condamnée par Vénus à trier diverses graines mélangées. L'Amour lui suscita des fourmis qui se chargèrent de ce travail.";"Thuaire, Jean François ; France";1822;"INV 8232; L 3817";"Département des Peintures"
cl010056293;"Vue de la Loire à Vorey (Haute-Loire)";"Thuillier, Pierre ; France";1838;"INV 8162; LP 3476";"Département des Peintures"
cl010056295;"La Vallée du Gapeau (Provence)";"Thuillier, Pierre ; France";1845;"INV 8164; LP 6720";"Département des Peintures"
cl010056297;"Portrait en buste de Marie Leczinzska";"France ; Tocqué, Louis";"1700 / 1800  (XVIIIe siècle)";"INV 8184; LP 4124; DE 1204";"Département des Peintures"
cl010056302;"Acis et Galatée";"Troy, Jean-François de ; France";1724;"INV 8208; MR 1510";"Département des Peintures"
cl010056307;"Lucrèce se poignardant";"Troy, Jean-François de ; France";1731;"RF 1949 23; 1731";"Département des Peintures"
cl010056309;"La Rencontre des troupeaux";"Troyon, Constant ; France";1854;"RF 1457";"Département des Peintures"
cl010056312;"Bord de mer";"France ; Troyon, Constant";"1800 / 1900  (XIXe siècle)";"RF 1955 5";"Département des Peintures"
cl010056314;"Paysage. Apollon chassé du ciel, enseigne la musique aux bergers";"Turpin de Crissé, Lancelot Théodore ; France";1824;"INV 8233; C 14";"Département des Peintures"
cl010056317;"La Mort de Saint Louis";"Vafflard, Pierre Antoine Augustin ; France";"1825 / 1827  (2e quart du XIXe siècle)";"INV 8239; C 178";"Département des Peintures"
cl010056323;Érigone;"France ; Van Loo, Charles-André";"1700 / 1800  (XVIIIe siècle)";"MI 1426; D.L.I.171";"Département des Peintures"
cl010056324;"Érigone, dit aussi l'Automne";"Van Loo, Charles-Amédée ; France";"1700 / 1800  (XVIIIe siècle)";"MI 1430; D 876 6 1";"Département des Peintures"
cl010056327;"Saint Louis, âgé de douze ans, présenté par la Reine Blanche, sa mère, pour être sacré";"Van Loo, Charles-Amédée ; France";1773;"INV 6384";"Département des Peintures"
cl010056328;"Portrait présumé de Livio Vernet (1747 - après 1827) homme de loi, fils de Joseph Vernet";"France ; Van Loo, Charles-Amédée";"1700 / 1800  (XVIIIe siècle)";"RF 1938 96";"Département des Peintures"
cl010056329;"Portrait en buste de Catherine Opalinska, reine de Pologne";"France ; Van Loo, Jean-Baptiste";"1700 / 1800  (XVIIIe siècle)";"INV 6255; B 2262; D 846";"Département des Peintures"
cl010056332;"Portrait en pied de Louis XV";"Van Loo, Louis-Michel ; France";1763;"INV 6296; MR 2580";"Département des Peintures"
cl010056335;"Portrait en pied de Louis XV";"France ; Van Loo, Louis-Michel";"1700 / 1800  (XVIIIe siècle)";"INV 6315; MR 1645";"Département des Peintures"
cl010056338;"Portrait de Louis XV, vu à mi-corps";"France ; Van Loo, Louis-Michel";"1700 / 1800  (XVIIIe siècle)";"INV 6325; B 2109; D.872.1.1";"Département des Peintures"
cl010056339;"Portrait de Louis XV, vu à mi corps";"France ; Van Loo, Louis-Michel";"1700 / 1800  (XVIIIe siècle)";"INV 6326; D 873 2; B 2099";"Département des Peintures"
cl010056342;"Portrait en buste de Louis XV";"France ; Van Loo, Louis-Michel";"1700 / 1800  (XVIIIe siècle)";"INV 6330; MR 1644";"Département des Peintures"
cl010056343;"Portrait en buste de Louis XV";"France ; Van Loo, Louis-Michel";"1700 / 1800  (XVIIIe siècle)";"INV 6331; B 2126";"Département des Peintures"
